# Single SKU Max Power Table
#          OFDM 6 ~ 54     | |                  HT20 MCS 0 ~ 15            | |              HT40 MCS 0 ~ 15                | |      VHT80 MCS 0 ~ 9      |
ch36 19 19 19 19 17 17 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 13 13
ch38 19 19 19 19 17 17 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 13 13
ch40 19 19 19 19 17 17 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 13 13
ch42 19 19 19 19 17 17 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 13 13
ch44 19 19 19 19 17 17 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 13 13
ch46 19 19 19 19 17 17 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 13 13
ch48 19 19 19 19 17 17 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 13 13
ch52 19 19 19 19 17 17 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 13 13
ch54 19 19 19 19 17 17 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 13 13
ch56 19 19 19 19 17 17 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 13 13
ch58 19 19 19 19 17 17 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 13 13
ch60 19 19 19 19 17 17 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 13 13
ch62 19 19 19 19 17 17 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 13 13
ch64 19 19 19 19 17 17 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 13 13
ch100 19 19 19 19 17 17 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 13 13
ch102 19 19 19 19 17 17 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 13 13
ch104 19 19 19 19 17 17 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 13 13
ch106 19 19 19 19 17 17 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 13 13
ch108 19 19 19 19 17 17 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 13 13
ch110 19 19 19 19 17 17 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 13 13
ch112 19 19 19 19 17 17 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 13 13
ch116 19 19 19 19 17 17 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 13 13
ch118 19 19 19 19 17 17 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 13 13
ch120 19 19 19 19 17 17 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 13 13
ch122 19 19 19 19 17 17 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 13 13
ch124 19 19 19 19 17 17 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 13 13
ch126 19 19 19 19 17 17 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 13 13
ch128 19 19 19 19 17 17 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 13 13
ch132 19 19 19 19 17 17 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 13 13
ch134 19 19 19 19 17 17 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 19 19 18 18 16 16 15 15 13 13
